naive
Running experiment with seed=654:
Epoch [44/50] - Loss: 0.1291
Epoch [45/50] - Loss: 0.1275
Epoch [46/50] - Loss: 0.1268
Epoch [47/50] - Loss: 0.1263
Epoch [48/50] - Loss: 0.1220
Epoch [49/50] - Loss: 0.1233
Epoch [50/50] - Loss: 0.1239
sum preds 12
sum labels 421
 - Test Metrics: Accuracy=0.8651, F1=0.0508, Recall=0.0261, Precision=0.9167
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=114:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=MLP, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.1774
Epoch [2/50] - Loss: 0.8969
Epoch [3/50] - Loss: 0.6962
Epoch [4/50] - Loss: 0.5844
Epoch [5/50] - Loss: 0.5369
Epoch [6/50] - Loss: 0.5358
Epoch [7/50] - Loss: 0.5109
Epoch [8/50] - Loss: 0.5038
Epoch [9/50] - Loss: 0.4695
Epoch [10/50] - Loss: 0.4369
Epoch [11/50] - Loss: 0.3965
Epoch [12/50] - Loss: 0.3663
Epoch [13/50] - Loss: 0.3536
Epoch [14/50] - Loss: 0.3416
Epoch [15/50] - Loss: 0.3295
Epoch [16/50] - Loss: 0.3176
Epoch [17/50] - Loss: 0.3119
Epoch [18/50] - Loss: 0.2927
Epoch [19/50] - Loss: 0.2809
Epoch [20/50] - Loss: 0.2655
Epoch [21/50] - Loss: 0.2577
Epoch [22/50] - Loss: 0.2435
Epoch [23/50] - Loss: 0.2350
Epoch [24/50] - Loss: 0.2232
Epoch [25/50] - Loss: 0.2187
Epoch [26/50] - Loss: 0.2105
Epoch [27/50] - Loss: 0.2042
Epoch [28/50] - Loss: 0.1945
Epoch [29/50] - Loss: 0.1891
Epoch [30/50] - Loss: 0.1832
Epoch [31/50] - Loss: 0.1802
Epoch [32/50] - Loss: 0.1777
Epoch [33/50] - Loss: 0.1718
Epoch [34/50] - Loss: 0.1668
Epoch [35/50] - Loss: 0.1686
Epoch [36/50] - Loss: 0.1641
Epoch [37/50] - Loss: 0.1615
Epoch [38/50] - Loss: 0.1582
Epoch [39/50] - Loss: 0.1558
Epoch [40/50] - Loss: 0.1553
Epoch [41/50] - Loss: 0.1531
Epoch [42/50] - Loss: 0.1515
Epoch [43/50] - Loss: 0.1447
Epoch [44/50] - Loss: 0.1482
Epoch [45/50] - Loss: 0.1408
Epoch [46/50] - Loss: 0.1445
Epoch [47/50] - Loss: 0.1394
Epoch [48/50] - Loss: 0.1336
Epoch [49/50] - Loss: 0.1283
Epoch [50/50] - Loss: 0.1265
sum preds 12
sum labels 421
 - Test Metrics: Accuracy=0.8651, F1=0.0508, Recall=0.0261, Precision=0.9167
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=25:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=MLP, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.4636
Epoch [2/50] - Loss: 1.1642
Epoch [3/50] - Loss: 0.8914
Epoch [4/50] - Loss: 0.6937
Epoch [5/50] - Loss: 0.5841
Epoch [6/50] - Loss: 0.5568
Epoch [7/50] - Loss: 0.5567
Epoch [8/50] - Loss: 0.5580
Epoch [9/50] - Loss: 0.5329
Epoch [10/50] - Loss: 0.5036
Epoch [11/50] - Loss: 0.4702
Epoch [12/50] - Loss: 0.4289
Epoch [13/50] - Loss: 0.4028
Epoch [14/50] - Loss: 0.3732
Epoch [15/50] - Loss: 0.3528
Epoch [16/50] - Loss: 0.3388
Epoch [17/50] - Loss: 0.3352
Epoch [18/50] - Loss: 0.3218
Epoch [19/50] - Loss: 0.3085
Epoch [20/50] - Loss: 0.2957
Epoch [21/50] - Loss: 0.2822
Epoch [22/50] - Loss: 0.2705
Epoch [23/50] - Loss: 0.2517
Epoch [24/50] - Loss: 0.2405
Epoch [25/50] - Loss: 0.2318
Epoch [26/50] - Loss: 0.2211
Epoch [27/50] - Loss: 0.2135
Epoch [28/50] - Loss: 0.2079
Epoch [29/50] - Loss: 0.2009
Epoch [30/50] - Loss: 0.1919
Epoch [31/50] - Loss: 0.1874
Epoch [32/50] - Loss: 0.1766
Epoch [33/50] - Loss: 0.1746
Epoch [34/50] - Loss: 0.1679
Epoch [35/50] - Loss: 0.1629
Epoch [36/50] - Loss: 0.1571
Epoch [37/50] - Loss: 0.1550
Epoch [38/50] - Loss: 0.1525
Epoch [39/50] - Loss: 0.1494
Epoch [40/50] - Loss: 0.1460
Epoch [41/50] - Loss: 0.1420
Epoch [42/50] - Loss: 0.1392
Epoch [43/50] - Loss: 0.1396
Epoch [44/50] - Loss: 0.1334
Epoch [45/50] - Loss: 0.1313
Epoch [46/50] - Loss: 0.1315
Epoch [47/50] - Loss: 0.1317
Epoch [48/50] - Loss: 0.1280
Epoch [49/50] - Loss: 0.1286
Epoch [50/50] - Loss: 0.1279
sum preds 8
sum labels 421
 - Test Metrics: Accuracy=0.8645, F1=0.0373, Recall=0.0190, Precision=1.0000
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Done. Results written to citeseer_experimentations\citeseer_SCAR_naive_naive_1804082149.csv.
Average F1 over valid seeds: 0.0463 ± 0.0064
___________________________________________________________________________________
Avg F1 for citeseer with SCAR and naive, MLP,0.4: 0.0463 ± 0.0064
___________________________________________________________________________________
naive
Running experiment with seed=654:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GATConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.2501
Epoch [2/50] - Loss: 0.7461
Epoch [3/50] - Loss: 0.5634
Epoch [4/50] - Loss: 0.5458
Epoch [5/50] - Loss: 0.5437
Epoch [6/50] - Loss: 0.5279
Epoch [7/50] - Loss: 0.4862
Epoch [8/50] - Loss: 0.4479
Epoch [9/50] - Loss: 0.4113
Epoch [10/50] - Loss: 0.3780
Epoch [11/50] - Loss: 0.3694
Epoch [12/50] - Loss: 0.3596
Epoch [13/50] - Loss: 0.3615
Epoch [14/50] - Loss: 0.3529
Epoch [15/50] - Loss: 0.3452
Epoch [16/50] - Loss: 0.3373
Epoch [17/50] - Loss: 0.3236
Epoch [18/50] - Loss: 0.3158
Epoch [19/50] - Loss: 0.3125
Epoch [20/50] - Loss: 0.2995
Epoch [21/50] - Loss: 0.2916
Epoch [22/50] - Loss: 0.2908
Epoch [23/50] - Loss: 0.2822
Epoch [24/50] - Loss: 0.2777
Epoch [25/50] - Loss: 0.2700
Epoch [26/50] - Loss: 0.2671
Epoch [27/50] - Loss: 0.2603
Epoch [28/50] - Loss: 0.2596
Epoch [29/50] - Loss: 0.2599
Epoch [30/50] - Loss: 0.2542
Epoch [31/50] - Loss: 0.2525
Epoch [32/50] - Loss: 0.2472
Epoch [33/50] - Loss: 0.2463
Epoch [34/50] - Loss: 0.2414
Epoch [35/50] - Loss: 0.2413
Epoch [36/50] - Loss: 0.2400
Epoch [37/50] - Loss: 0.2376
Epoch [38/50] - Loss: 0.2324
Epoch [39/50] - Loss: 0.2347
Epoch [40/50] - Loss: 0.2274
Epoch [41/50] - Loss: 0.2284
Epoch [42/50] - Loss: 0.2282
Epoch [43/50] - Loss: 0.2279
Epoch [44/50] - Loss: 0.2242
Epoch [45/50] - Loss: 0.2185
Epoch [46/50] - Loss: 0.2215
Epoch [47/50] - Loss: 0.2136
Epoch [48/50] - Loss: 0.2238
Epoch [49/50] - Loss: 0.2184
Epoch [50/50] - Loss: 0.2118
sum preds 68
sum labels 421
 - Test Metrics: Accuracy=0.8756, F1=0.2249, Recall=0.1306, Precision=0.8088
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=114:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GATConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.1036
Epoch [2/50] - Loss: 0.5957
Epoch [3/50] - Loss: 0.5527
Epoch [4/50] - Loss: 0.5437
Epoch [5/50] - Loss: 0.4953
Epoch [6/50] - Loss: 0.4373
Epoch [7/50] - Loss: 0.3893
Epoch [8/50] - Loss: 0.3545
Epoch [9/50] - Loss: 0.3543
Epoch [10/50] - Loss: 0.3517
Epoch [11/50] - Loss: 0.3486
Epoch [12/50] - Loss: 0.3360
Epoch [13/50] - Loss: 0.3225
Epoch [14/50] - Loss: 0.3113
Epoch [15/50] - Loss: 0.2963
Epoch [16/50] - Loss: 0.2931
Epoch [17/50] - Loss: 0.2863
Epoch [18/50] - Loss: 0.2802
Epoch [19/50] - Loss: 0.2726
Epoch [20/50] - Loss: 0.2682
Epoch [21/50] - Loss: 0.2611
Epoch [22/50] - Loss: 0.2540
Epoch [23/50] - Loss: 0.2528
Epoch [24/50] - Loss: 0.2432
Epoch [25/50] - Loss: 0.2390
Epoch [26/50] - Loss: 0.2365
Epoch [27/50] - Loss: 0.2300
Epoch [28/50] - Loss: 0.2281
Epoch [29/50] - Loss: 0.2234
Epoch [30/50] - Loss: 0.2140
Epoch [31/50] - Loss: 0.2127
Epoch [32/50] - Loss: 0.2063
Epoch [33/50] - Loss: 0.2095
Epoch [34/50] - Loss: 0.2032
Epoch [35/50] - Loss: 0.2011
Epoch [36/50] - Loss: 0.1966
Epoch [37/50] - Loss: 0.1975
Epoch [38/50] - Loss: 0.1933
Epoch [39/50] - Loss: 0.1818
Epoch [40/50] - Loss: 0.1853
Epoch [41/50] - Loss: 0.1800
Epoch [42/50] - Loss: 0.1807
Epoch [43/50] - Loss: 0.1819
Epoch [44/50] - Loss: 0.1713
Epoch [45/50] - Loss: 0.1739
Epoch [46/50] - Loss: 0.1708
Epoch [47/50] - Loss: 0.1633
Epoch [48/50] - Loss: 0.1634
Epoch [49/50] - Loss: 0.1655
Epoch [50/50] - Loss: 0.1614
sum preds 49
sum labels 421
 - Test Metrics: Accuracy=0.8707, F1=0.1617, Recall=0.0903, Precision=0.7755
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=25:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GATConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.1723
Epoch [2/50] - Loss: 0.6740
Epoch [3/50] - Loss: 0.5586
Epoch [4/50] - Loss: 0.5480
Epoch [5/50] - Loss: 0.5491
Epoch [6/50] - Loss: 0.5132
Epoch [7/50] - Loss: 0.4673
Epoch [8/50] - Loss: 0.4135
Epoch [9/50] - Loss: 0.3825
Epoch [10/50] - Loss: 0.3692
Epoch [11/50] - Loss: 0.3630
Epoch [12/50] - Loss: 0.3602
Epoch [13/50] - Loss: 0.3538
Epoch [14/50] - Loss: 0.3450
Epoch [15/50] - Loss: 0.3363
Epoch [16/50] - Loss: 0.3226
Epoch [17/50] - Loss: 0.3147
Epoch [18/50] - Loss: 0.3061
Epoch [19/50] - Loss: 0.3148
Epoch [20/50] - Loss: 0.2998
Epoch [21/50] - Loss: 0.2961
Epoch [22/50] - Loss: 0.2858
Epoch [23/50] - Loss: 0.2878
Epoch [24/50] - Loss: 0.2759
Epoch [25/50] - Loss: 0.2822
Epoch [26/50] - Loss: 0.2746
Epoch [27/50] - Loss: 0.2690
Epoch [28/50] - Loss: 0.2647
Epoch [29/50] - Loss: 0.2651
Epoch [30/50] - Loss: 0.2559
Epoch [31/50] - Loss: 0.2597
Epoch [32/50] - Loss: 0.2515
Epoch [33/50] - Loss: 0.2529
Epoch [34/50] - Loss: 0.2486
Epoch [35/50] - Loss: 0.2450
Epoch [36/50] - Loss: 0.2434
Epoch [37/50] - Loss: 0.2446
Epoch [38/50] - Loss: 0.2400
Epoch [39/50] - Loss: 0.2408
Epoch [40/50] - Loss: 0.2346
Epoch [41/50] - Loss: 0.2329
Epoch [42/50] - Loss: 0.2315
Epoch [43/50] - Loss: 0.2298
Epoch [44/50] - Loss: 0.2230
Epoch [45/50] - Loss: 0.2256
Epoch [46/50] - Loss: 0.2227
Epoch [47/50] - Loss: 0.2160
Epoch [48/50] - Loss: 0.2135
Epoch [49/50] - Loss: 0.2147
Epoch [50/50] - Loss: 0.2067
sum preds 68
sum labels 421
 - Test Metrics: Accuracy=0.8776, F1=0.2372, Recall=0.1378, Precision=0.8529
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Done. Results written to citeseer_experimentations\citeseer_SCAR_naive_naive_1804082237.csv.
Average F1 over valid seeds: 0.2080 ± 0.0331
___________________________________________________________________________________
Avg F1 for citeseer with SCAR and naive, GATConv,0.4: 0.2080 ± 0.0331
___________________________________________________________________________________
naive
Running experiment with seed=654:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GCNConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.2702
Epoch [2/50] - Loss: 0.7854
Epoch [3/50] - Loss: 0.5968
Epoch [4/50] - Loss: 0.5587
Epoch [5/50] - Loss: 0.5554
Epoch [6/50] - Loss: 0.5448
Epoch [7/50] - Loss: 0.5065
Epoch [8/50] - Loss: 0.4770
Epoch [9/50] - Loss: 0.4244
Epoch [10/50] - Loss: 0.3972
Epoch [11/50] - Loss: 0.3800
Epoch [12/50] - Loss: 0.3744
Epoch [13/50] - Loss: 0.3680
Epoch [14/50] - Loss: 0.3683
Epoch [15/50] - Loss: 0.3605
Epoch [16/50] - Loss: 0.3570
Epoch [17/50] - Loss: 0.3446
Epoch [18/50] - Loss: 0.3393
Epoch [19/50] - Loss: 0.3310
Epoch [20/50] - Loss: 0.3291
Epoch [21/50] - Loss: 0.3246
Epoch [22/50] - Loss: 0.3180
Epoch [23/50] - Loss: 0.3164
Epoch [24/50] - Loss: 0.3082
Epoch [25/50] - Loss: 0.3022
Epoch [26/50] - Loss: 0.3038
Epoch [27/50] - Loss: 0.2955
Epoch [28/50] - Loss: 0.2941
Epoch [29/50] - Loss: 0.2919
Epoch [30/50] - Loss: 0.2900
Epoch [31/50] - Loss: 0.2890
Epoch [32/50] - Loss: 0.2860
Epoch [33/50] - Loss: 0.2855
Epoch [34/50] - Loss: 0.2821
Epoch [35/50] - Loss: 0.2775
Epoch [36/50] - Loss: 0.2798
Epoch [37/50] - Loss: 0.2745
Epoch [38/50] - Loss: 0.2716
Epoch [39/50] - Loss: 0.2745
Epoch [40/50] - Loss: 0.2715
Epoch [41/50] - Loss: 0.2723
Epoch [42/50] - Loss: 0.2690
Epoch [43/50] - Loss: 0.2624
Epoch [44/50] - Loss: 0.2628
Epoch [45/50] - Loss: 0.2620
Epoch [46/50] - Loss: 0.2623
Epoch [47/50] - Loss: 0.2623
Epoch [48/50] - Loss: 0.2562
Epoch [49/50] - Loss: 0.2621
Epoch [50/50] - Loss: 0.2585
sum preds 0
sum labels 421
 - Test Metrics: Accuracy=0.8618, F1=0.0000, Recall=0.0000, Precision=0.0000
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=114:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GCNConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.0391
Epoch [2/50] - Loss: 0.5884
Epoch [3/50] - Loss: 0.5805
Epoch [4/50] - Loss: 0.5468
Epoch [5/50] - Loss: 0.4645
Epoch [6/50] - Loss: 0.4011
Epoch [7/50] - Loss: 0.3682
Epoch [8/50] - Loss: 0.3649
Epoch [9/50] - Loss: 0.3696
Epoch [10/50] - Loss: 0.3659
Epoch [11/50] - Loss: 0.3537
Epoch [12/50] - Loss: 0.3436
Epoch [13/50] - Loss: 0.3270
Epoch [14/50] - Loss: 0.3195
Epoch [15/50] - Loss: 0.3166
Epoch [16/50] - Loss: 0.3139
Epoch [17/50] - Loss: 0.3104
Epoch [18/50] - Loss: 0.3059
Epoch [19/50] - Loss: 0.2999
Epoch [20/50] - Loss: 0.2955
Epoch [21/50] - Loss: 0.2942
Epoch [22/50] - Loss: 0.2869
Epoch [23/50] - Loss: 0.2854
Epoch [24/50] - Loss: 0.2875
Epoch [25/50] - Loss: 0.2819
Epoch [26/50] - Loss: 0.2795
Epoch [27/50] - Loss: 0.2779
Epoch [28/50] - Loss: 0.2797
Epoch [29/50] - Loss: 0.2718
Epoch [30/50] - Loss: 0.2732
Epoch [31/50] - Loss: 0.2721
Epoch [32/50] - Loss: 0.2676
Epoch [33/50] - Loss: 0.2673
Epoch [34/50] - Loss: 0.2634
Epoch [35/50] - Loss: 0.2654
Epoch [36/50] - Loss: 0.2644
Epoch [37/50] - Loss: 0.2652
Epoch [38/50] - Loss: 0.2644
Epoch [39/50] - Loss: 0.2617
Epoch [40/50] - Loss: 0.2600
Epoch [41/50] - Loss: 0.2590
Epoch [42/50] - Loss: 0.2550
Epoch [43/50] - Loss: 0.2575
Epoch [44/50] - Loss: 0.2558
Epoch [45/50] - Loss: 0.2550
Epoch [46/50] - Loss: 0.2504
Epoch [47/50] - Loss: 0.2539
Epoch [48/50] - Loss: 0.2510
Epoch [49/50] - Loss: 0.2500
Epoch [50/50] - Loss: 0.2547
sum preds 55
sum labels 421
 - Test Metrics: Accuracy=0.8779, F1=0.2185, Recall=0.1235, Precision=0.9455
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=25:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=GCNConv, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.1284
Epoch [2/50] - Loss: 0.6269
Epoch [3/50] - Loss: 0.5605
Epoch [4/50] - Loss: 0.5793
Epoch [5/50] - Loss: 0.5469
Epoch [6/50] - Loss: 0.4772
Epoch [7/50] - Loss: 0.4198
Epoch [8/50] - Loss: 0.3782
Epoch [9/50] - Loss: 0.3736
Epoch [10/50] - Loss: 0.3729
Epoch [11/50] - Loss: 0.3763
Epoch [12/50] - Loss: 0.3659
Epoch [13/50] - Loss: 0.3487
Epoch [14/50] - Loss: 0.3407
Epoch [15/50] - Loss: 0.3315
Epoch [16/50] - Loss: 0.3297
Epoch [17/50] - Loss: 0.3191
Epoch [18/50] - Loss: 0.3218
Epoch [19/50] - Loss: 0.3149
Epoch [20/50] - Loss: 0.3088
Epoch [21/50] - Loss: 0.3048
Epoch [22/50] - Loss: 0.3023
Epoch [23/50] - Loss: 0.2996
Epoch [24/50] - Loss: 0.2932
Epoch [25/50] - Loss: 0.2924
Epoch [26/50] - Loss: 0.2810
Epoch [27/50] - Loss: 0.2824
Epoch [28/50] - Loss: 0.2793
Epoch [29/50] - Loss: 0.2795
Epoch [30/50] - Loss: 0.2793
Epoch [31/50] - Loss: 0.2761
Epoch [32/50] - Loss: 0.2736
Epoch [33/50] - Loss: 0.2753
Epoch [34/50] - Loss: 0.2678
Epoch [35/50] - Loss: 0.2689
Epoch [36/50] - Loss: 0.2671
Epoch [37/50] - Loss: 0.2689
Epoch [38/50] - Loss: 0.2621
Epoch [39/50] - Loss: 0.2637
Epoch [40/50] - Loss: 0.2631
Epoch [41/50] - Loss: 0.2630
Epoch [42/50] - Loss: 0.2620
Epoch [43/50] - Loss: 0.2594
Epoch [44/50] - Loss: 0.2586
Epoch [45/50] - Loss: 0.2596
Epoch [46/50] - Loss: 0.2616
Epoch [47/50] - Loss: 0.2543
Epoch [48/50] - Loss: 0.2624
Epoch [49/50] - Loss: 0.2547
Epoch [50/50] - Loss: 0.2572
sum preds 40
sum labels 421
 - Test Metrics: Accuracy=0.8723, F1=0.1562, Recall=0.0855, Precision=0.9000
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Done. Results written to citeseer_experimentations\citeseer_SCAR_naive_naive_1804082329.csv.
Average F1 over valid seeds: 0.1249 ± 0.0919
___________________________________________________________________________________
Avg F1 for citeseer with SCAR and naive, GCNConv,0.4: 0.1249 ± 0.0919
___________________________________________________________________________________
naive
Running experiment with seed=654:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.07703213712302019, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=MLP, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.4147
Epoch [2/50] - Loss: 1.0386
Epoch [3/50] - Loss: 0.7333
Epoch [4/50] - Loss: 0.5438
Epoch [5/50] - Loss: 0.4638
Epoch [6/50] - Loss: 0.4552
Epoch [7/50] - Loss: 0.4630
Epoch [8/50] - Loss: 0.4516
Epoch [9/50] - Loss: 0.4413
Epoch [10/50] - Loss: 0.4029
Epoch [11/50] - Loss: 0.3802
Epoch [12/50] - Loss: 0.3456
Epoch [13/50] - Loss: 0.3162
Epoch [14/50] - Loss: 0.2922
Epoch [15/50] - Loss: 0.2792
Epoch [16/50] - Loss: 0.2713
Epoch [17/50] - Loss: 0.2592
Epoch [18/50] - Loss: 0.2564
Epoch [19/50] - Loss: 0.2409
Epoch [20/50] - Loss: 0.2297
Epoch [21/50] - Loss: 0.2175
Epoch [22/50] - Loss: 0.2039
Epoch [23/50] - Loss: 0.1939
Epoch [24/50] - Loss: 0.1845
Epoch [25/50] - Loss: 0.1754
Epoch [26/50] - Loss: 0.1657
Epoch [27/50] - Loss: 0.1567
Epoch [28/50] - Loss: 0.1505
Epoch [29/50] - Loss: 0.1450
Epoch [30/50] - Loss: 0.1391
Epoch [31/50] - Loss: 0.1328
Epoch [32/50] - Loss: 0.1296
Epoch [33/50] - Loss: 0.1258
Epoch [34/50] - Loss: 0.1201
Epoch [35/50] - Loss: 0.1171
Epoch [36/50] - Loss: 0.1161
Epoch [37/50] - Loss: 0.1129
Epoch [38/50] - Loss: 0.1085
Epoch [39/50] - Loss: 0.1075
Epoch [40/50] - Loss: 0.1057
Epoch [41/50] - Loss: 0.1042
Epoch [42/50] - Loss: 0.1016
Epoch [43/50] - Loss: 0.1021
Epoch [44/50] - Loss: 0.0996
Epoch [45/50] - Loss: 0.0987
Epoch [46/50] - Loss: 0.0969
Epoch [47/50] - Loss: 0.0973
Epoch [48/50] - Loss: 0.0941
Epoch [49/50] - Loss: 0.0953
Epoch [50/50] - Loss: 0.0960
sum preds 2
sum labels 491
 - Test Metrics: Accuracy=0.8431, F1=0.0081, Recall=0.0041, Precision=1.0000
 - Validation Metrics: Accuracy=nan, F1=0.0000, Recall=0.0000, Precision=0.0000
Running experiment with seed=114:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.07703213712302019, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=MLP, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.1657
Epoch [2/50] - Loss: 0.8644
Epoch [3/50] - Loss: 0.6434
Epoch [4/50] - Loss: 0.5145
Epoch [5/50] - Loss: 0.4586
Epoch [6/50] - Loss: 0.4543
Epoch [7/50] - Loss: 0.4343
Epoch [8/50] - Loss: 0.4401
Epoch [9/50] - Loss: 0.4205
Epoch [10/50] - Loss: 0.3982
Epoch [11/50] - Loss: 0.3617
Epoch [12/50] - Loss: 0.3303
Epoch [13/50] - Loss: 0.3122
Epoch [14/50] - Loss: 0.2927
Epoch [15/50] - Loss: 0.2804
Epoch [16/50] - Loss: 0.2671
Epoch [17/50] - Loss: 0.2640
Epoch [18/50] - Loss: 0.2504
Epoch [19/50] - Loss: 0.2420
Epoch [20/50] - Loss: 0.2313
Epoch [21/50] - Loss: 0.2229
Epoch [22/50] - Loss: 0.2071
Epoch [23/50] - Loss: 0.1986
Epoch [24/50] - Loss: 0.1873
Epoch [25/50] - Loss: 0.1806
Epoch [26/50] - Loss: 0.1723
Epoch [27/50] - Loss: 0.1662
Epoch [28/50] - Loss: 0.1583
Epoch [29/50] - Loss: 0.1534
Epoch [30/50] - Loss: 0.1479
Epoch [31/50] - Loss: 0.1443
Epoch [32/50] - Loss: 0.1415
Epoch [33/50] - Loss: 0.1362
Epoch [34/50] - Loss: 0.1308
Epoch [35/50] - Loss: 0.1330
Epoch [36/50] - Loss: 0.1289
Epoch [37/50] - Loss: 0.1265
Epoch [38/50] - Loss: 0.1244
Epoch [39/50] - Loss: 0.1212
Epoch [40/50] - Loss: 0.1213
Epoch [41/50] - Loss: 0.1189
Epoch [42/50] - Loss: 0.1168
Epoch [43/50] - Loss: 0.1132
Epoch [44/50] - Loss: 0.1157
